ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.3336,3.0276,9.1786,,,,,,,,,,1355.0,25.19,-20.96,-31.74,254.67,-22.97,6.36,5.0,1020.3,67.002,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,9 / 16,"$GPGSV,3,3,10,07,14,323,,29,03,082,*7A::$GPGGA,183929,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*65::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183929,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*37::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",4,2017-04-26 19:39:53:202
-0.7421,3.2654,9.8754,,,,,,,,,,1355.0,24.18,-19.75,-33.41,249.77,-18.24,2.08,5.0,1020.3,60.951,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,9 / 16,"$GPGSV,3,3,10,07,14,323,,29,03,082,*7A::$GPGGA,183929,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*65::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183929,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*37::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",206,2017-04-26 19:39:53:404
-0.4542,2.9015,8.0898,,,,,,,,,,1336.0,22.82,-18.45,-34.98,254.52,-18.25,4.3,5.0,1020.34,60.951,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,9 / 16,"$GPGSV,3,3,10,07,14,323,,29,03,082,*7A::$GPGGA,183930,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183930,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",404,2017-04-26 19:39:53:602
0.0101,2.3512,9.7265,,,,,,,,,,1336.0,21.93,-17.76,-36.01,257.53,-19.7,3.21,5.0,1020.31,65.969,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,9 / 16,"$GPGSV,3,3,10,07,14,323,,29,03,082,*7A::$GPGGA,183930,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183930,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",604,2017-04-26 19:39:53:802
0.2565,1.7267,9.5048,,,,,,,,,,1384.0,21.36,-16.94,-36.83,245.08,-10.29,-1.55,5.0,1020.31,65.969,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,9 / 16,"$GPGSV,3,3,10,07,14,323,,29,03,082,*7A::$GPGGA,183930,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183930,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",804,2017-04-26 19:39:54:002
0.2358,1.7188,9.4791,,,,,,,,,,1378.0,21.3,-16.09,-37.78,247.56,-10.27,-1.42,5.0,1020.3,69.998,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,9 / 16,"$GPGSV,3,3,10,07,14,323,,29,03,082,*7A::$GPGGA,183930,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183930,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",1004,2017-04-26 19:39:54:202
0.23,1.6921,9.4772,,,,,,,,,,1378.0,20.95,-15.66,-38.6,247.72,-10.12,-1.39,5.0,1020.3,67.153,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,8 / 15,"$GPGSV,3,1,09,04,00,000,36,08,16,271,22,16,80,243,34,18,28,120,30*76::$GPGGA,183930,5022.157128,N,00408.331995,W,2,08,1.6,16.0,M,47.0,M,,*6D::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183930,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3F::$GPGSA,A,3,04,08,10,16,18,21,26,27,,,,,1.8,1.6,0.9*34",1204,2017-04-26 19:39:54:402
0.0044,2.1011,9.66,,,,,,,,,,1341.0,20.68,-15.85,-39.05,250.73,-12.27,-0.03,5.0,1020.34,67.153,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,8 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183931,5022.157128,N,00408.331995,W,2,07,2.0,16.0,M,47.0,M,,*66::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183931,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3E::$GPGSA,A,3,04,08,16,18,21,26,27,,,,,,2.2,2.0,0.9*39",1404,2017-04-26 19:39:54:602
0.5564,2.9029,7.4466,,,,,,,,,,1341.0,21.14,-17.33,-38.03,263.56,-21.24,-4.27,5.0,1020.43,53.671,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,8 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183931,5022.157128,N,00408.331995,W,2,07,2.0,16.0,M,47.0,M,,*66::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183931,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3E::$GPGSA,A,3,04,08,16,18,21,26,27,,,,,,2.2,2.0,0.9*39",1604,2017-04-26 19:39:54:802
1.0376,2.7919,9.3116,,,,,,,,,,1170.0,22.55,-17.71,-36.41,253.88,-16.59,-6.36,5.0,1020.43,50.945,50.36929,-4.138861,61.0,NaN,,0.0,3.0,,8 / 15,"$GPGSV,3,3,09,29,03,082,*42::$GPGGA,183931,5022.157128,N,00408.331995,W,2,07,2.0,16.0,M,47.0,M,,*66::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,1,1,0,*79::$GPRMC,183931,A,5022.157128,N,00408.331995,W,0.0,,260417,4.8,W,D*3E::$GPGSA,A,3,04,08,16,18,21,26,27,,,,,,2.2,2.0,0.9*39",1803,2017-04-26 19:39:55:001
