ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Altitude-atmospheric pressure ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.2029,3.8759,9.2358,,,,,,,,,,1532.0,26.97,-8.41,-43.48,309.8,-31.7,7.71,5.0,1017.36,48.559,50.375126,-4.138795,191.0,NaN,,0.0,22.0,,14 / 27,"$GPGSV,3,3,12,27,50,277,21,29,05,081,16,07,13,324,,31,00,000,*79::$GPGGA,183513,5022.502209,N,00408.329597,W,2,09,0.7,151.0,M,47.0,M,,*50::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183513,A,5022.502209,N,00408.329597,W,0.0,,260417,4.8,W,D*31::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,1.2,0.7,0.9*3C",17,2017-04-26 19:35:36:612
3.1028,3.9787,8.743,,,,,,,,,,1532.0,18.34,-5.35,-48.44,291.77,-22.21,-13.42,5.0,1017.36,48.559,50.375126,-4.138795,191.0,NaN,,0.0,22.0,,14 / 27,"$GPGSV,3,3,12,27,50,277,21,29,05,081,16,07,13,324,,31,00,000,*79::$GPGGA,183513,5022.502209,N,00408.329597,W,2,09,0.7,151.0,M,47.0,M,,*50::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183513,A,5022.502209,N,00408.329597,W,0.0,,260417,4.8,W,D*31::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,1.2,0.7,0.9*3C",217,2017-04-26 19:35:36:812
0.8865,5.1275,8.2323,,,,,,,,,,1777.0,9.6,-2.89,-51.84,299.61,-23.21,-19.54,5.0,1017.35,50.492,50.375126,-4.138795,191.0,NaN,,0.0,22.0,,14 / 27,"$GPGSV,3,3,12,27,50,277,21,29,05,081,16,07,13,324,,31,00,000,*79::$GPGGA,183513,5022.502209,N,00408.329597,W,2,09,0.7,151.0,M,47.0,M,,*50::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183513,A,5022.502209,N,00408.329597,W,0.0,,260417,4.8,W,D*31::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,1.2,0.7,0.9*3C",417,2017-04-26 19:35:37:012
-0.0549,4.8597,7.7501,,,,,,,,,,1777.0,5.15,-1.21,-53.29,350.4,-32.09,0.41,5.0,1017.36,51.52,50.375126,-4.138795,191.0,NaN,,0.0,22.0,,14 / 27,"$GPGSV,3,3,12,27,50,277,21,29,05,081,16,07,13,324,,31,00,000,*79::$GPGGA,183513,5022.502209,N,00408.329597,W,2,09,0.7,151.0,M,47.0,M,,*50::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183513,A,5022.502209,N,00408.329597,W,0.0,,260417,4.8,W,D*31::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,1.2,0.7,0.9*3C",617,2017-04-26 19:35:37:212
-1.8931,4.0398,7.5921,,,,,,,,,,1628.0,3.5,-1.96,-53.81,22.02,-27.31,14.0,5.0,1017.36,51.52,50.375126,-4.138795,191.0,NaN,,0.0,22.0,,14 / 27,"$GPGSV,3,3,12,27,50,277,21,29,05,081,16,07,13,324,,31,00,000,*79::$GPGGA,183513,5022.502209,N,00408.329597,W,2,09,0.7,151.0,M,47.0,M,,*50::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183513,A,5022.502209,N,00408.329597,W,0.0,,260417,4.8,W,D*31::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,1.2,0.7,0.9*3C",817,2017-04-26 19:35:37:412
-1.85,4.2645,7.912,,,,,,,,,,1628.0,3.0,-4.16,-54.12,23.84,-27.69,13.16,5.0,1017.35,52.924,50.375313,-4.138201,367.0,NaN,,0.0,34.0,,14 / 26,"$GPGSV,3,3,11,27,50,277,21,07,13,324,,31,00,000,*4A::$GPGGA,183514,5022.518722,N,00408.292080,W,2,09,1.2,320.0,M,47.0,M,,*52::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183514,A,5022.518722,N,00408.292080,W,0.0,,260417,4.8,W,D*33::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,2.0,1.2,1.6*37",1017,2017-04-26 19:35:37:612
-1.671,4.9491,8.5183,,,,,,,,,,1559.0,1.65,-6.1,-54.49,21.67,-29.69,11.1,5.0,1017.35,52.924,50.375313,-4.138201,367.0,NaN,,0.0,34.0,,14 / 26,"$GPGSV,3,3,11,27,50,277,21,07,13,324,,31,00,000,*4A::$GPGGA,183514,5022.518722,N,00408.292080,W,2,09,1.2,320.0,M,47.0,M,,*52::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183514,A,5022.518722,N,00408.292080,W,0.0,,260417,4.8,W,D*33::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,2.0,1.2,1.6*37",1217,2017-04-26 19:35:37:812
-1.1528,4.5291,8.2581,,,,,,,,,,1741.0,0.22,-5.12,-54.72,18.26,-27.79,7.24,5.0,1017.35,52.661,50.375313,-4.138201,367.0,NaN,,0.0,34.0,,14 / 26,"$GPGSV,3,3,11,27,50,277,21,07,13,324,,31,00,000,*4A::$GPGGA,183514,5022.518722,N,00408.292080,W,2,09,1.2,320.0,M,47.0,M,,*52::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183514,A,5022.518722,N,00408.292080,W,0.0,,260417,4.8,W,D*33::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,2.0,1.2,1.6*37",1417,2017-04-26 19:35:38:012
-1.1314,4.2901,8.6511,,,,,,,,,,1741.0,-0.19,-2.96,-54.61,18.03,-28.51,7.95,5.0,1017.36,46.878,50.375313,-4.138201,367.0,NaN,,0.0,34.0,,14 / 26,"$GPGSV,3,3,11,27,50,277,21,07,13,324,,31,00,000,*4A::$GPGGA,183514,5022.518722,N,00408.292080,W,2,09,1.2,320.0,M,47.0,M,,*52::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183514,A,5022.518722,N,00408.292080,W,0.0,,260417,4.8,W,D*33::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,2.0,1.2,1.6*37",1617,2017-04-26 19:35:38:212
-1.0733,4.3769,8.6337,,,,,,,,,,1763.0,-0.49,-1.73,-54.56,17.76,-26.18,7.45,5.0,1017.36,46.878,50.375313,-4.138201,367.0,NaN,,0.0,34.0,,14 / 26,"$GPGSV,3,3,11,27,50,277,21,07,13,324,,31,00,000,*4A::$GPGGA,183514,5022.518722,N,00408.292080,W,2,09,1.2,320.0,M,47.0,M,,*52::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,10,76,02,338,,69,07,116,*61::$GPRMC,183514,A,5022.518722,N,00408.292080,W,0.0,,260417,4.8,W,D*33::$GPGSA,A,3,04,08,10,16,18,20,21,26,27,,,,2.0,1.2,1.6*37",1816,2017-04-26 19:35:38:411
